ticker,corp_name,유동비율,유동비율_순위,유동비율_하위(%),부채비율,부채비율_순위,부채비율_하위(%)
030960,양지사,1794.926,47.0,1.84,4.347,2518.0,98.59
102120,어보브반도체,112.661,1766.0,70.68,89.571,976.0,38.19
238120,얼라인드,1348.457,88.0,3.48,24.738,1998.0,78.22
019990,에너토크,858.801,183.0,7.29,7.447,2446.0,95.77
011090,에넥스,76.213,2186.0,87.51,233.531,266.0,10.38
435570,에르코스,29.462,2456.0,98.32,124.332,680.0,26.6
270660,에브리봇,97.876,1932.0,77.33,76.007,1164.0,45.55
038680,에스넷,143.227,1448.0,57.95,133.579,628.0,24.56
137310,에스디바이오센서,531.476,329.0,13.14,32.609,1835.0,71.84
217480,에스디생명공학,148.5,1406.0,56.27,103.67,846.0,33.1
121890,에스디시스템,187.722,1095.0,43.81,64.807,1301.0,50.92
304360,에스바이오메딕스,248.7,825.0,33.0,143.568,563.0,22.01
389500,에스비비테크,87.31,2048.0,81.98,137.954,601.0,23.5
042110,에스씨디,356.346,568.0,22.71,29.176,1895.0,74.19
298060,에스씨엠생명과학,34.771,2440.0,97.68,63.411,1322.0,51.74
065420,에스아이리소스,81.998,2125.0,85.06,95.22,918.0,35.92
103230,에스앤더블류,164.602,1256.0,50.26,43.106,1628.0,63.73
260970,에스앤디,300.937,678.0,27.11,36.67,1754.0,68.66
101490,에스앤에스텍,390.769,511.0,20.42,20.33,2125.0,83.2
095910,에스에너지,109.413,1800.0,72.05,240.921,253.0,9.87
275630,에스에스알,846.392,187.0,7.45,15.614,2236.0,87.54
031330,에스에이엠티,183.299,1115.0,44.61,93.463,936.0,36.62
060540,에스에이티,121.595,1674.0,67.0,57.921,1392.0,54.48
056190,에스에프에이,168.093,1223.0,48.94,62.875,1328.0,51.98
005850,에스엘,205.396,1000.0,40.01,54.296,1450.0,56.76
246250,에스엘에스바이오,663.924,266.0,10.61,30.731,1871.0,73.25
041510,에스엠,167.992,1225.0,49.02,71.167,1225.0,47.94
