ticker,corp_name,매출액증가율(YoY),매출액증가율_순위,매출액증가율_하위(%),영업이익증가율(YoY),영업이익증가율_순위,영업이익증가율_하위(%),ROE,ROE_순위,ROE_하위(%),영업이익률,영업이익률_순위,영업이익률_하위(%),유동비율,유동비율_순위,유동비율_하위(%),부채비율,부채비율_순위,부채비율_하위(%)
89850,유비벨록스,11.677,762.0,30.37,-30.901,1590.0,62.49,9.779,567.0,22.27,5.62,855.0,34.15,125.669,1632.0,65.32,107.21,819.0,32.04
84440,유비온,4.557,1161.0,46.29,-624.764,2481.0,97.52,-35.992,2317.0,91.11,-6.07,1942.0,77.61,92.633,1992.0,79.74,263.607,210.0,8.19
32620,유비케어,23.732,442.0,17.6,47.12,540.0,21.2,-1.415,1695.0,66.64,2.71,1273.0,50.86,178.079,1151.0,46.06,48.519,1542.0,60.36
264450,유비쿼스,-30.933,2369.0,94.49,-57.399,1870.0,73.5,12.453,394.0,15.46,11.92,354.0,14.11,896.198,168.0,6.69,14.713,2262.0,88.56
78070,유비쿼스홀딩스,-26.778,2332.0,93.02,-55.986,1857.0,72.98,6.091,948.0,37.25,11.42,378.0,15.07,1242.769,108.0,4.29,8.73,2426.0,94.99
2920,유성기업,4.217,1187.0,47.33,-105.907,2155.0,84.7,-2.053,1725.0,67.82,-0.15,1677.0,67.01,320.057,636.0,25.43,33.382,1822.0,71.33
24800,유성티엔에스,-35.592,2404.0,95.89,135.078,257.0,10.07,14.754,296.0,11.61,3.22,1191.0,47.58,34.699,2441.0,97.72,23.709,2023.0,79.2
700,유수홀딩스,27.533,382.0,15.2,-16.692,1366.0,53.68,7.376,797.0,31.31,4.2,1036.0,41.38,490.447,366.0,14.62,16.286,2214.0,86.68
54930,유신,-0.433,1559.0,62.17,-68.252,1959.0,77.0,17.783,199.0,7.79,1.71,1425.0,56.94,118.565,1709.0,68.4,98.702,891.0,34.86
69330,유아이디,1.112,1433.0,57.14,-174.993,2321.0,91.23,3.447,1247.0,49.02,0.46,1609.0,64.29,122.113,1670.0,66.84,121.828,699.0,27.34
49520,유아이엘,27.853,377.0,15.0,148.608,239.0,9.36,16.65,226.0,8.85,4.96,950.0,37.94,255.916,801.0,32.04,41.51,1655.0,64.79
3470,유안타증권,-4.983,1815.0,72.39,-26.619,1524.0,59.89,4.515,1135.0,44.61,3.49,1144.0,45.7,,,,927.974,34.0,1.29
263770,유에스티,-24.574,2312.0,92.22,-50.929,1804.0,70.9,6.873,859.0,33.75,9.23,506.0,20.19,699.022,248.0,9.89,11.125,2350.0,92.01
72130,유엔젤,44.78,224.0,8.9,-144.375,2267.0,89.11,6.346,914.0,35.92,1.49,1455.0,58.14,416.189,469.0,18.74,18.62,2169.0,84.92
220,유유제약,-2.961,1702.0,67.88,3108.821,9.0,0.31,8.057,719.0,28.25,8.79,540.0,21.55,158.107,1323.0,52.94,53.77,1460.0,57.15
388720,유일로보틱스,19.401,533.0,21.23,-106.136,2157.0,84.78,-13.936,2054.0,80.76,1.12,1513.0,60.46,228.182,900.0,36.0,23.554,2029.0,79.44
340930,유일에너테크,55.006,168.0,6.66,65.425,440.0,17.26,-51.626,2395.0,94.18,-28.02,2232.0,89.2,66.381,2261.0,90.51,307.908,159.0,6.19
23410,유진기업,-5.438,1836.0,73.22,-34.864,1642.0,64.53,-9.619,1968.0,77.38,3.95,1079.0,43.1,65.012,2275.0,91.07,131.313,644.0,25.19
56080,유진로봇,35.116,293.0,11.65,-20.923,1429.0,56.15,-8.556,1943.0,76.4,-16.22,2130.0,85.13,226.821,907.0,36.28,53.283,1465.0,57.34
1200,유진증권,0.3,1504.0,59.98,115.753,295.0,11.56,4.81,1103.0,43.35,3.53,1140.0,45.54,,,,817.532,48.0,1.84
84370,유진테크,22.252,476.0,18.95,151.491,232.0,9.08,16.274,239.0,9.36,18.1,164.0,6.52,469.264,398.0,15.9,23.812,2020.0,79.08
240600,유진테크놀로지,-34.473,2399.0,95.69,-161.659,2302.0,90.48,-6.822,1891.0,74.35,-12.64,2068.0,82.65,191.689,1065.0,42.61,43.15,1626.0,63.65
221800,유투바이오,-18.679,2230.0,88.95,133.681,260.0,10.18,-7.845,1918.0,75.41,-12.49,2065.0,82.53,640.05,276.0,11.01,30.66,1874.0,73.36
179900,유티아이,-4.137,1766.0,70.43,63.412,445.0,17.46,-49.558,2389.0,93.94,-173.73,2439.0,97.48,154.691,1351.0,54.06,115.473,749.0,29.3
