ticker,corp_name,매출액증가율(YoY),매출액증가율_순위,매출액증가율_하위(%),영업이익증가율(YoY),영업이익증가율_순위,영업이익증가율_하위(%)
073560,우리손에프앤지,4.794,1149.0,45.81,494.15,70.0,2.71
037400,우리엔터프라이즈,-2.238,1653.0,65.92,-38.673,1685.0,66.22
153490,우리이앤엘,3.443,1245.0,49.64,36.076,626.0,24.58
101170,우림피티에스,25.149,413.0,16.44,-164.692,2305.0,90.6
006980,우성,-4.511,1792.0,71.47,51.242,514.0,20.17
066590,우수AMS,1.787,1355.0,54.03,7.92,968.0,38.03
017370,우신시스템,132.703,51.0,2.0,190.62,184.0,7.2
103840,우양,-7.859,1934.0,77.13,-65.09,1932.0,75.93
101970,우양에이치씨,-8.401,1952.0,77.85,23.018,752.0,29.53
046940,우원개발,19.934,523.0,20.83,108.122,315.0,12.35
215380,우정바이오,11.871,759.0,30.25,-140.016,2256.0,88.67
065680,우주일렉트로,10.184,839.0,33.44,151.12,235.0,9.2
105840,우진,9.04,892.0,35.55,4.817,1027.0,40.35
018620,우진비앤지,-3.866,1751.0,69.83,-58.636,1876.0,73.73
010400,우진아이엔에스,37.356,275.0,10.93,438.511,78.0,3.03
457550,우진엔텍,8.052,939.0,37.43,-9.743,1275.0,50.1
049800,우진플라임,-1.193,1596.0,63.65,-84.656,2051.0,80.61
016880,웅진,-1.027,1585.0,63.21,39.019,604.0,23.71
095720,웅진씽크빅,-2.57,1675.0,66.8,65.942,438.0,17.18
396470,워트,18.206,575.0,22.91,38.113,612.0,24.03
005820,원림,-2.411,1666.0,66.44,-65.784,1938.0,76.17
307280,원바이오젠,2.786,1292.0,51.52,-10.054,1277.0,50.18
032940,원익,6.82,999.0,39.82,-25.37,1499.0,58.91
240810,원익IPS,8.378,917.0,36.55,-158.875,2297.0,90.29
074600,원익QnC,10.62,810.0,32.28,9.193,943.0,37.04
104830,원익머트리얼즈,-20.67,2261.0,90.18,110.286,305.0,11.95
014190,원익큐브,17.362,597.0,23.78,-36.357,1660.0,65.24
217820,원익피앤이,-3.954,1757.0,70.07,-1784.431,2523.0,99.17
030530,원익홀딩스,-13.883,2118.0,84.48,-33.119,1623.0,63.78
012620,원일특강,-0.181,1542.0,61.49,-10.882,1287.0,50.57
382840,원준,9.176,883.0,35.2,167.793,217.0,8.49
336570,원텍,-0.324,1549.0,61.77,-24.431,1480.0,58.16
376980,원티드랩,-7.374,1921.0,76.62,-151.99,2283.0,89.74
008370,원풍,7.893,947.0,37.75,-0.131,1122.0,44.08
008290,원풍물산,-20.882,2267.0,90.42,123.388,277.0,10.85
101160,월덱스,6.493,1024.0,40.82,8.447,964.0,37.87
336060,웨이버스,15.607,636.0,25.34,-66.845,1945.0,76.45
095270,웨이브일렉트로,0.077,1516.0,60.45,-21.219,1432.0,56.27
289930,웨이비스,74.046,118.0,4.67,-48.967,1780.0,69.96
010600,웰바이오텍,39.425,254.0,10.1,-73.607,1995.0,78.41
065950,웰크론,-22.721,2292.0,91.42,-55.21,1846.0,72.55
076080,웰크론한텍,-21.403,2272.0,90.62,59.068,468.0,18.36
043590,웰킵스하이텍,47.5,206.0,8.18,-3496.02,2535.0,99.65
196700,웹스,-5.957,1866.0,74.42,20.355,776.0,30.48
069080,웹젠,9.403,873.0,34.8,9.318,939.0,36.89
053580,웹케시,0.81,1454.0,57.98,1.244,1102.0,43.3
479960,위너스,-4.625,1797.0,71.67,-15.37,1349.0,53.01
071460,위니아,-70.681,2485.0,99.12,-67.523,1952.0,76.72
377460,위니아에이드,-57.601,2462.0,98.2,-99.126,2126.0,83.56
044340,위닉스,-6.422,1891.0,75.42,-190.117,2339.0,91.94
330350,위더스제약,28.211,368.0,14.64,-28.432,1551.0,60.95
348350,위드텍,-11.996,2066.0,82.4,-60.16,1888.0,74.2
112040,위메이드,17.616,591.0,23.54,-106.395,2160.0,84.9
101730,위메이드맥스,7.493,969.0,38.63,-315.03,2421.0,95.16
123420,위메이드플레이,-1.041,1586.0,63.25,-341.609,2430.0,95.52
065370,위세아이텍,26.799,391.0,15.56,-132.34,2241.0,88.08
038620,위즈코프,86.658,97.0,3.83,330.805,111.0,4.33
299900,위지윅스튜디오,-45.408,2441.0,97.37,-41.739,1707.0,67.09
036090,위지트,915.432,8.0,0.28,278.85,131.0,5.11
459100,위츠,-8.811,1967.0,78.45,-78.779,2024.0,79.55
136540,윈스테크넷,-5.049,1820.0,72.59,-11.833,1300.0,51.08
097800,윈팩,-13.994,2121.0,84.6,1.816,1090.0,42.82
192390,윈하이텍,-27.068,2335.0,93.14,-39.917,1698.0,66.73
