ticker,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20
078930,진짜(6회),매도(6회),허씨들(6회),주가(4회),상법개정(3회),이노베이션(3회),상한가(3회),기름(3회),허가(3회),투자(3회),smr(3회),빼돌려서(2회),수혜로(2회),차전지(2회),근거도(2회),연속적(2회),지분(2회),상승(2회),공시(2회),연기금은(2회)
083450,오늘도(2회),내일부터(1회),달리것네(1회),워터파크(1회),열었냐(1회),줄줄(1회),흐르네(1회),중소기업들은(1회),이모양이지(1회),주가는(1회),이라노(1회),에라이(1회),그런데(1회),꽝입니꽈(1회),Gst(1회),,,,,
006360,가능성(4회),만주(3회),관세(3회),누적(2회),만주정도(2회),팔면서(2회),기관매도(2회),건설이(2회),회사(2회),미리(2회),가격(2회),대출(2회),일방적(2회),선제적(2회),밀릴수도(2회),연기금(1회),본격적으로(1회),매입하다(1회),털고(1회),대출제한(1회)
001250,우리형(3회),매도(2회),상법개정(2회),트럼프(2회),알래스카(2회),개미들(2회),실적(2회),관련주(1회),동양철관이나(1회),모간이(1회),개잡주(1회),만원(1회),손절(1회),상법개정수혜주(1회),매출(1회),실적증가(1회),한미관세협상(1회),한국참여(1회),압박(1회),휴림로봇(1회)
007070,2025년(8회),정상화(7회),수익성(6회),부문(4회),2024년(4회),당기순이익이(3회),중단사업(3회),손실(3회),접근성(2회),공매도(2회),개정되어도(2회),분리선출도(2회),제한도(2회),프로그램(2회),매도(2회),예상되는(2회),리테일의(2회),반영(2회),분할(2회),중단사업손실(2회)
499790,오자마자(2회),장난질(1회),,,,,,,,,,,,,,,,,,
297890,김사장도(2회),매수했다고(2회),배당도(2회),매도한걸(2회),여러분도(2회),전문가(2회),확인(2회),솔루션(2회),시디즈(2회),상갈듯(2회),정신차려라(2회),7000원이(2회),매도(2회),찌라시(1회),스테이블(1회),코인(1회),나노마이스로(1회),산화막(1회),두께(1회),양품(1회)
440290,증권사(2회),리포트(2회),투자(2회),배당도(2회),국장(1회),클라쓰(1회),쩐다(1회),쩔어(1회),리포트내고(1회),최소(1회),사야(1회),30만주는(1회),나와도(4회),어찌(2회),이리(2회),반응이(2회),없냐(2회),많이(1회),주는데(1회),안서네요(1회)
078150,가보자(2회),매도(2회),매수도(2회),던지고(2회),규모의(2회),연면적(2회),접근금지(2회),유튜버들도(2회),테크놀러지가(1회),우량주(1회),지분(1회),억이상(1회),알제(1회),골파기(1회),씨게(1회),외인이(1회),때리네요(1회),천원(1회),기대해봄직(1회),재야고수(1회)
012630,역전(1회),역전승(1회),분할이후(1회),,,,,,,,,,,,,,,,,
