ticker,corp_name,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20
002460,HS화성,수도권(69),주택사업(32),중장기(22),성장(21),해외(20),예방(20),확대(19),사전(19),,,,,,,,,,,,
487570,HS효성,창립(523),글로벌(464),기술(434),임직원(390),소재(292),대비(288),기업(279),미래(214),서울(212),시장(195),과학(191),,,,,,,,,
298050,HS효성첨단소재,창립(442),기술(371),임직원(341),소재(280),기업(240),대비(235),마포(206),미래(193),과학(168),서울(166),시장(165),가치경영(160),,,,,,,,
015360,INVENI,거래(9),주가(7),상승률(6),중국(3),지주사(2),,,,,,,,,,,,,,,
095340,ISC,지속가능경영보고서(27),경영(27),환경(23),공시(22),문화(21),자율주행(21),지배구조(21),,,,,,,,,,,,,
175330,JB금융지주,자사주(17),전거래일(9),주주환원(9),주가(9),배당(6),배당소득(5),분리과세(5),소각(5),밸류업(4),오버행(4),성향(4),총주주환원율(4),장중(3),신고가(3),,,,,,
950170,JTC,서울대(7),단기(5),국립대(4),소재(4),글로컬(4),과열(3),이격도(3),고등교육(3),지방(3),사립대(3),,,,,,,,,,
234080,JW생명과학,혈소판(4),면역성(3),감소증(2),치료제(2),타발리스정(2),티발리스정(2),상반기(2),관리(2),경영(2),결과(2),스마트안전보건박람회(2),,,,,,,,,
067290,JW신약,호산구성(8),신약(7),식도염(5),치료제(5),비임상(5),식도(5),염증(5),선도물질(4),면역(4),염증성(4),미충족(4),반응(4),개발(3),국가신약개발사업(3),,,,,,
001060,JW중외제약,혈소판(581),타발리스정(464),면역성(229),개발(199),치료(183),출혈(165),혁신신약(153),치료제(149),,,,,,,,,,,,
096760,JW홀딩스,거래(9),주가(7),상승률(6),중국(3),지주사(2),,,,,,,,,,,,,,,
035900,JYP Ent.,중국(12),버블(12),외국인(9),실적(7),현지(6),멤버십(6),순매수(6),최대(5),바이오(5),팬덤(4),반도체(4),플랫폼(3),,,,,,,,
318000,KBG,골든크로스(6),기술(4),단기(4),상승(4),주가(3),이동평균선(2),거래량(2),화학(2),신호(2),투자(2),수익성(2),긍정(2),,,,,,,,
024840,KBI메탈,하천(4),충북(2),영문(2),칠장천(1),대소산업단지(1),,,,,,,,,,,,,,,
105560,KB금융,경영(215),보호(158),지배구조(146),사회(132),금융(124),환경(118),금융소비자(106),지속가능경영(79),,,,,,,,,,,,
432320,KB스타리츠,공간(9),도시(6),주거(6),산업(4),혁신(4),포럼(3),마이스(3),조감도(3),도시혁신(3),전문가(2),강남구(2),대한경제(2),,,,,,,,
021320,KCC건설,청약(4),김포(3),연장(3),한강(3),산업단지(3),지하(2),지상(2),중대형(2),분양가(2),김포시(2),한강조망(1),전용(1),전국(1),특별공급(1),상한제(1),적용(1),,,,
009440,KC그린홀딩스,회생절차(3),사진(1),코스피(1),금융감독원(1),전자공시시스템(1),수원지방법원(1),재산보전처분신청(1),포괄적금지명령신청(1),,,,,,,,,,,,
119650,KC코트렐,거래정지(5),투자자(2),상반기(2),유가증권시장(2),종목(2),감사의견(2),장기(1),피해(1),확대(1),우려(1),전경(1),코스피(1),상장공시시스템(1),금융감독원(1),,,,,,
044180,KD,이중항체(13),항체(10),이상훈(8),기술(8),개발(8),임상(8),글로벌(7),바이오(5),기반(4),전략(4),링커(4),,,,,,,,,
092220,KEC,사업(3),건설(2),계열사(2),조직(2),의사결정(2),관리(2),합병(2),수익성(2),과천(1),사옥(1),사진(1),에너지(1),내부(1),,,,,,,
046440,KG모빌리언스,체크카드(21),스테이블(16),코인(12),캐시백(12),적립(8),대중교통(6),간편결제(6),통신(6),커피(6),일상(6),네이버페이(6),카카오페이(5),주가(4),케이뱅크(4),특화(4),편의점(4),생활(4),결제(4),,
003620,KG모빌리티,차량(448),판매(297),하이브리드(257),모빌링(230),시장(222),토레스(214),내수(209),구독(200),액티언(194),수출(193),모빌리티(187),전년(164),서비스(162),정비(146),글로벌(162),국내(127),플랫폼(109),,,
016380,KG스틸,재무(10),차입금(9),부채비율(12),철강업계(4),기준(4),의존도(8),전략(3),차입(6),상환(3),현대제철(3),외부(2),내부(2),자금(2),경기(2),자본(2),,,,,
151860,KG에코솔루션,교환사채(11),발행(11),자사주(10),상반기(9),소각(5),지난해(4),단위(4),경우(3),자금(3),시장(3),상법(2),주주(2),보호(2),,,,,,,
035600,KG이니시스,결제(13),간편결제(10),수수료(9),공시(9),가맹점(6),체계(6),우대(6),수수료율(6),해외(5),업체(5),대상(5),플랫폼(4),소상공인(4),전자결제(3),시장(3),기업(3),,,,
001390,KG케미칼,배터리(4),테스트(4),소재(3),부품(3),연구개발(3),기술(3),반도체(3),공정(3),,,,,,,,,,,,
226360,KH 건설,지분(6),자금(4),인수(3),잔금(3),코스닥(2),매각(2),성사(2),구주(2),,,,,,,,,,,,
111870,KH 미래물산,,,,,,,,,,,,,,,,,,,,
033180,KH 필룩스,김성태(10),배상윤(7),이재명(6),검찰(6),돈(5),핵심(5),쌍방울(5),조씨(5),북한(4),대북(4),,,,,,,,,,
001940,KISCO홀딩스,거래일(9),주가(7),중국(3),지주사(2),,,,,,,,,,,,,,,,
058400,KNN,부산(23),경남(14),시청자(14),제보(14),교육(10),부산국제영화제(8),영상취재(7),조회수(7),,,,,,,,,,,,
025000,KPX케미칼,라제안(8),골관절염(6),주사제(5),제품(4),치료(3),콜라겐(3),시장(2),통합(2),인지도(2),마케팅(2),,,,,,,,,,
092230,KPX홀딩스,거래일(9),주가(7),중국(3),지주사(2),,,,,,,,,,,,,,,,
000040,KR모터스,수사(18),특검(11),검찰(15),대통령(10),,,,,,,,,,,,,,,,
044450,KSS해운,선박(7),친환경(5),물류(5),탄소(4),해운(3),연료(3),추진(3),정부(3),선사(3),세계(3),,,,,,,,,,
101000,KS인더스트리,디지털(69),조선(67),상장기업(67),브랜드평판지수(62),브랜드(56),빅데이터(52),국방(42),트윈(37),기술(36),하락(24),전환(19),,,,,,,,,
058850,KTcs,철도(19),기술(16),고속철도(12),해외(11),열차(8),시장(7),열차제어시스템(6),세계(4),외국산(4),시스템(4),비용(4),,,,,,,,,
058860,KTis,분할(7),임시(2),반대(2),주주(2),지분(2),,,,,,,,,,,,,,,
089600,KT나스미디어,광고(12),연구원(5),사업(2),수익률(2),동기(2),,,,,,,,,,,,,,,
418470,KT밀리의서재,웹소설(27),스토리(20),오디오북(13),독서(12),플랫폼(12),브랜드(12),신규(11),디지털(11),상장(10),전지적(9),독자(9),시점(9),,,,,,,,
043610,KT지니뮤직,걸그룹(19),초대(19),글로벌(19),신보(17),데뷔(15),스페셜(14),핫루키(13),음악(12),출시앨범(12),,,,,,,,,,,
122450,KX,일본(27),골프(23),레저(20),보안(19),골프장(16),글로벌(15),사업(14),서비스(13),투자(12),해외(12),교육(12),핵심(11),디지털(11),브랜드(11),제조(10),,,,,
052900,KX하이텍,골프(20),보안(18),레저(16),골프장(13),사업(8),투자(6),전문(6),지분(6),포트폴리오(6),한국(6),베트남(6),,,,,,,,,
036560,KZ정밀,공개매수(4),경영권(4),영풍정밀(3),명예회장(3),의결권(3),고려아연(2),방어(2),대출(2),이자(2),운영자금(2),유증(2),지분율(2),납부(2),,,,,,,
061970,LB세미콘,반도체(3),소부장(2),베테랑(2),반도체생태계펀드(1),투자(1),,,,,,,,,,,,,,,
309960,LB인베스트먼트,벤처펀드(41),회수(19),펀드(16),벤처조합(13),,,,,,,,,,,,,,,,
093050,LF,위젯(177),출석(147),마일리지(109),쇼핑(86),상품(80),푸시(76),데일리(71),클릭(66),챌린지(65),패션(62),누적(60),인삼(50),여름(48),,,,,,,
003550,LG,윤리(289),라제안(224),유네스코(167),기술(160),거버넌스(160),서비스(152),생물다양성(147),물류(142),사업(137),유엔(136),포럼(135),,,,,,,,,
034220,LG디스플레이,지배구조(28),경영(27),환경(26),온실가스(24),지속가능경영보고서(23),사회(20),협력사(20),연속(19),신규(19),폴더블(19),공급망(18),채용(18),디스플레이(18),확대(17),대응(17),폐기물(16),,,,
051900,LG생활건강,브랜드(15),이너뷰티(10),판매(6),글로벌(5),제품(5),프리미엄(5),뷰티(5),고객(4),중국(4),시장(4),피부(4),콜라겐(4),전용(4),이너뷰(4),출시(4),건기식(4),부스터(3),,,
064400,LG씨엔에스,스테이블코인(39),코인(21),사업(19),영상(17),시장(16),디지털(16),글로벌(14),기반(13),원화(13),자동화(11),금융(10),전환(10),,,,,,,,
373220,LG에너지솔루션,배터리(181),탄소발자국(79),전기차(69),산정(67),사업(67),재생에너지(58),안전보건(56),경영(55),기술(52),확대(52),상생협력(51),가이드라인(47),협력회사(46),중소기업(46),핵심(43),,,,,
032640,LG유플러스,생물다양성(339),서비스(274),지속가능경영보고서(233),통신(223),기후(175),평가(167),환경(162),사람(159),가치(154),중심(153),강화(153),사회적(148),기술(145),네트워크(139),품질(137),,,,,
011070,LG이노텍,정보보호(19),장애인(18),채용(18),신규(17),매출(12),기준(12),단기(11),실적(11),시장(10),보안(10),카메라(9),수요(8),,,,,,,,
066570,LG전자,물류(762),스마트물류(642),물류센터(586),스마트팩토리(514),글로벌(492),디지털(442),사업(397),운영(382),로봇(363),솔루션(352),설계(319),트윈(281),,,,,,,,
037560,LG헬로비전,교육(14),임대료(10),위약금(5),콘텐츠(4),조정(4),인터넷(4),동급(4),매주(3),,,,,,,,,,,,
