ticker,corp_name,ROE,ROE_순위,ROE_하위(%),영업이익률,영업이익률_순위,영업이익률_하위(%)
025890,한국주강,2.271,1393.0,54.76,2.27,1347.0,53.82
000970,한국주철관공업,4.01,1185.0,46.58,3.68,1112.0,44.42
104700,한국철강,2.822,1324.0,52.05,0.3,1631.0,65.17
062970,한국첨단소재,-224.399,2526.0,99.33,-73.74,2382.0,95.2
017960,한국카본,4.375,1149.0,45.16,6.13,792.0,31.63
023760,한국캐피탈,12.621,380.0,14.91,20.94,111.0,4.4
054040,한국컴퓨터,9.279,604.0,23.72,2.89,1250.0,49.94
161890,한국콜마,8.571,663.0,26.04,7.91,609.0,24.31
021650,한국큐빅,10.703,502.0,19.71,4.54,993.0,39.66
161390,한국타이어앤테크놀로지,10.863,491.0,19.28,18.72,153.0,6.08
034830,한국토지신탁,-1.919,1720.0,67.62,14.36,268.0,10.68
007280,한국특강,-1.301,1686.0,66.29,1.38,1477.0,59.02
032300,한국파마,5.416,1029.0,40.44,7.49,647.0,25.83
037230,한국팩키지,1.154,1506.0,59.21,3.01,1227.0,49.02
047810,한국항공우주,10.211,541.0,21.24,6.63,730.0,29.15
123690,한국화장품,17.363,208.0,8.14,4.0,1071.0,42.78
003350,한국화장품제조,36.482,33.0,1.26,15.85,217.0,8.64
030520,한글과컴퓨터,2.927,1308.0,51.42,13.26,312.0,12.44
052600,한네트,9.241,606.0,23.8,16.23,206.0,8.2
011500,한농화성,2.742,1330.0,52.28,2.46,1314.0,52.5
002390,한독,-16.727,2095.0,82.38,0.11,1656.0,66.17
256150,한독크린텍,6.364,911.0,35.8,5.12,922.0,36.83
092460,한라IMS,8.216,698.0,27.42,15.31,238.0,9.48
053690,한미글로벌,10.629,507.0,19.91,7.99,606.0,24.19
042700,한미반도체,27.429,67.0,2.6,45.69,12.0,0.44
008930,한미사이언스,6.973,842.0,33.08,7.7,626.0,24.99
128940,한미약품,11.998,431.0,16.92,14.46,264.0,10.52
452190,한빛레이저,-8.165,1933.0,76.0,-13.83,2089.0,83.49
047080,한빛소프트,9.121,614.0,24.11,-4.23,1887.0,75.41
009240,한샘,43.591,25.0,0.94,1.64,1435.0,57.34
452280,한선엔지니어링,7.303,803.0,31.55,10.14,454.0,18.11
020000,한섬,3.093,1295.0,50.9,4.27,1031.0,41.18
003680,한성기업,4.245,1163.0,45.71,3.31,1173.0,46.86
066980,한성크린텍,-78.768,2461.0,96.77,-27.66,2229.0,89.08
105630,한세실업,8.628,658.0,25.85,7.91,609.0,24.31
069640,한세엠케이,-58.751,2414.0,94.93,-8.43,1999.0,79.89
016450,한세예스24홀딩스,2.552,1353.0,53.19,5.38,890.0,35.55
009180,한솔로지스틱스,6.979,841.0,33.04,2.44,1316.0,52.58
114810,한솔아이원스,18.602,179.0,7.0,14.68,254.0,10.12
070590,한솔인티큐브,-21.119,2155.0,84.74,-6.12,1944.0,77.69
213500,한솔제지,-4.307,1819.0,71.52,0.99,1532.0,61.22
014680,한솔케미칼,12.409,397.0,15.58,16.59,197.0,7.84
004710,한솔테크닉스,4.696,1111.0,43.67,2.78,1267.0,50.62
010420,한솔피엔에스,4.999,1080.0,42.45,1.06,1521.0,60.78
004150,한솔홀딩스,0.25,1590.0,62.51,0.95,1538.0,61.46
025750,한솔홈데코,-12.841,2032.0,79.9,3.49,1144.0,45.7
226440,한송네오텍,-77.285,2460.0,96.73,,,
042520,한스바이오메드,-13.325,2044.0,80.37,0.77,1565.0,62.53
004960,한신공영,1.925,1424.0,55.98,2.5,1307.0,52.22
011700,한신기계공업,-0.525,1647.0,64.75,0.6,1592.0,63.61
430690,한싹,0.351,1580.0,62.12,-13.22,2078.0,83.05
078350,한양디지텍,17.448,206.0,8.06,5.89,824.0,32.91
045100,한양이엔지,13.46,329.0,12.9,7.27,668.0,26.67
001750,한양증권,7.729,768.0,30.17,6.53,749.0,29.91
018880,한온시스템,-13.023,2036.0,80.06,0.95,1538.0,61.46
009420,한올바이오파마,-1.018,1673.0,65.77,0.17,1648.0,65.85
320000,한울반도체,-67.46,2437.0,95.83,-46.52,2320.0,92.72
091440,한울소재과학,-57.224,2409.0,94.73,-74.67,2383.0,95.24
276730,한울앤제주,-134.675,2509.0,98.66,-26.41,2221.0,88.76
014130,한익스프레스,18.318,186.0,7.28,0.47,1608.0,64.25
024740,한일단조,5.111,1065.0,41.86,5.95,815.0,32.55
005860,한일사료,2.338,1385.0,54.45,0.86,1551.0,61.98
300720,한일시멘트,11.187,474.0,18.61,15.58,223.0,8.88
002220,한일철강,-2.696,1747.0,68.69,0.32,1627.0,65.01
006390,한일현대시멘트,14.602,299.0,11.72,15.41,230.0,9.16
